cellId,x_mm,y_mm,z_mm,edep_MeV
821,821,0,0,6.090184e-01
822,822,0,0,7.130614e-01
823,823,0,0,6.710580e-01
824,824,0,0,6.529587e-01
825,825,0,0,9.498675e-01
826,826,0,0,7.202049e-01
827,827,0,0,5.922626e-01
828,828,0,0,6.771119e-01
829,829,0,0,7.439931e-01
830,830,0,0,6.952952e-01
831,831,0,0,8.619330e-01
832,832,0,0,6.142713e-01
833,833,0,0,7.520072e-01
834,834,0,0,7.736850e-01
835,835,0,0,7.094816e-01
836,836,0,0,6.797542e-01
837,837,0,0,6.079941e-01
838,838,0,0,6.309252e-01
839,839,0,0,6.476642e-01
840,840,0,0,8.422940e-01
841,841,0,0,6.304405e-01
842,842,0,0,5.605870e-01
843,843,0,0,6.293905e-01
844,844,0,0,7.523635e-01
845,845,0,0,7.237251e-01
846,846,0,0,7.033398e-01
847,847,0,0,6.740798e-01
848,848,0,0,8.016715e-01
849,849,0,0,6.218572e-01
850,850,0,0,5.849844e-01
851,851,0,0,6.504588e-01
852,852,0,0,7.695188e-01
853,853,0,0,7.882046e-01
854,854,0,0,6.519067e-01
855,855,0,0,7.172290e-01
856,856,0,0,8.187547e-01
857,857,0,0,7.014620e-01
858,858,0,0,6.960621e-01
859,859,0,0,5.745371e-01
860,860,0,0,6.276607e-01
861,861,0,0,6.038823e-01
862,862,0,0,7.296990e-01
863,863,0,0,6.963053e-01
864,864,0,0,5.580946e-01
865,865,0,0,6.414723e-01
