EventID,edep_MeV,dose_Gy
586,8.318672e-01,2.860082e-10
587,6.877386e-01,2.364547e-10
588,6.098107e-01,2.096619e-10
589,6.871734e-01,2.362603e-10
590,6.200297e-01,2.131753e-10
591,9.950269e-01,3.421049e-10
592,6.672835e-01,2.294219e-10
593,6.343377e-01,2.180946e-10
594,6.109470e-01,2.100526e-10
595,9.180484e-01,3.156386e-10
596,6.913755e-01,2.377051e-10
597,5.771103e-01,1.984190e-10
598,5.606423e-01,1.927571e-10
599,7.998055e-01,2.749849e-10
600,6.227719e-01,2.141181e-10
601,6.111074e-01,2.101077e-10
602,5.464915e-01,1.878918e-10
603,5.899066e-01,2.028186e-10
604,6.375649e-01,2.192042e-10
605,6.909459e-01,2.375574e-10
606,7.155483e-01,2.460160e-10
607,7.107334e-01,2.443606e-10
608,6.187135e-01,2.127228e-10
609,8.321536e-01,2.861067e-10
610,7.346714e-01,2.525908e-10
611,5.804742e-01,1.995756e-10
612,6.789343e-01,2.334276e-10
613,6.186699e-01,2.127078e-10
614,6.171876e-01,2.121982e-10
615,6.238012e-01,2.144720e-10
616,6.983609e-01,2.401068e-10
617,7.233047e-01,2.486828e-10
618,8.778601e-01,3.018212e-10
619,7.584380e-01,2.607621e-10
620,7.574260e-01,2.604142e-10
621,6.677718e-01,2.295898e-10
622,1.109286e+00,3.813889e-10
623,6.439889e-01,2.214129e-10
624,6.097690e-01,2.096476e-10
625,6.931106e-01,2.383016e-10
626,6.546025e-01,2.250620e-10
627,5.856254e-01,2.013466e-10
628,6.117019e-01,2.103121e-10
629,6.885332e-01,2.367278e-10
630,5.563914e-01,1.912956e-10
631,5.445443e-01,1.872223e-10
632,6.091602e-01,2.094383e-10
633,6.484726e-01,2.229544e-10
634,7.758869e-01,2.667613e-10
635,6.255059e-01,2.150581e-10
636,7.373039e-01,2.534959e-10
637,6.470696e-01,2.224721e-10
638,6.745412e-01,2.319172e-10
639,6.571916e-01,2.259522e-10
640,8.027681e-01,2.760035e-10
641,6.252443e-01,2.149682e-10
642,6.754786e-01,2.322395e-10
643,6.810587e-01,2.341580e-10
644,7.096362e-01,2.439834e-10
645,5.826401e-01,2.003203e-10
646,5.502359e-01,1.891792e-10
647,6.343383e-01,2.180948e-10
648,7.264685e-01,2.497706e-10
649,5.654906e-01,1.944240e-10
650,9.014695e-01,3.099385e-10
651,5.897340e-01,2.027592e-10
652,8.619800e-01,2.963614e-10
653,7.628026e-01,2.622628e-10
654,6.449944e-01,2.217586e-10
655,6.761977e-01,2.324867e-10
656,5.519791e-01,1.897786e-10
657,6.753354e-01,2.321902e-10
658,6.844463e-01,2.353227e-10
659,7.923497e-01,2.724215e-10
660,6.423280e-01,2.208418e-10
661,8.051737e-01,2.768306e-10
662,6.215028e-01,2.136818e-10
663,6.715217e-01,2.308791e-10
664,8.111176e-01,2.788742e-10
665,7.688707e-01,2.643491e-10
666,7.027253e-01,2.416073e-10
667,5.863873e-01,2.016086e-10
668,7.087137e-01,2.436662e-10
669,7.232155e-01,2.486522e-10
670,8.248098e-01,2.835817e-10
671,6.380514e-01,2.193715e-10
672,6.967033e-01,2.395369e-10
673,6.402338e-01,2.201218e-10
674,6.370975e-01,2.190435e-10
675,8.528629e-01,2.932268e-10
676,6.400835e-01,2.200702e-10
677,7.722064e-01,2.654959e-10
678,7.205002e-01,2.477186e-10
679,6.667349e-01,2.292333e-10
680,8.310055e-01,2.857119e-10
681,6.297784e-01,2.165271e-10
682,6.432583e-01,2.211617e-10
683,6.997195e-01,2.405739e-10
684,6.856447e-01,2.357347e-10
685,6.590616e-01,2.265951e-10
686,6.957448e-01,2.392073e-10
687,6.219973e-01,2.138518e-10
688,6.958721e-01,2.392511e-10
689,7.475240e-01,2.570097e-10
690,9.849289e-01,3.386331e-10
691,6.199820e-01,2.131590e-10
692,8.584951e-01,2.951633e-10
693,5.860911e-01,2.015068e-10
694,7.075833e-01,2.432775e-10
695,5.363949e-01,1.844205e-10
696,6.326954e-01,2.175300e-10
697,6.525204e-01,2.243461e-10
698,5.889871e-01,2.025024e-10
699,6.096677e-01,2.096127e-10
700,7.457752e-01,2.564085e-10
701,7.861470e-01,2.702889e-10
702,6.673578e-01,2.294475e-10
703,8.473564e-01,2.913336e-10
704,6.648969e-01,2.286014e-10
